007FF8A8  // 0.031243
FD4BFCF4  // -0.168948
FD573D22  // -0.166201
FD3F2637  // -0.172083
FCF9A0AC  // -0.189056
FCB02201  // -0.206999
FC8BFCAB  // -0.215823
FC8862B0  // -0.216703
FC7F2303  // -0.218961
FC56BFB6  // -0.228821
FC190D63  // -0.243884
FBDB177A  // -0.259011
FB9FC6A0  // -0.273492
FB60698F  // -0.288962
FB1D29D9  // -0.30538
FAD22F8F  // -0.323685
FA77ABF3  // -0.345783
FA215515  // -0.366862
F9FC6A49  // -0.375875
FA1A4438  // -0.368587
FA5E7FBC  // -0.351929
FAAE80B5  // -0.332397
FB0BD269  // -0.309614
FB76C7E9  // -0.283501
FBDF835C  // -0.257931
FC3D7371  // -0.234997
FC942DC9  // -0.213824
FCDC18B6  // -0.196265
FD04DD05  // -0.186313
FD156B18  // -0.182271
FD2EB704  // -0.176095
FD612978  // -0.163779
FD93015F  // -0.15161
FDA3BD09  // -0.147525
FD9A911C  // -0.149764
FD9A6632  // -0.149805
FDB3DF93  // -0.143586
FDDBF3DE  // -0.133801
FE01D89A  // -0.124549
FE14FAA1  // -0.119878
FE082B39  // -0.123006
FDE8806B  // -0.130737

